name,categories,city,province,country,latitude,longitude,postalCode,address
SONIC Drive In,American Restaurant and Fast Food Restaurant,Thibodaux,LA,US,29.814697,-90.814742,70301,800 N Canal Blvd
Taco Bell,Fast Food Restaurant,Pigeon Forge,TN,US,35.803788,-83.580553,37863,206 Wears Valley Rd
Arby's,Fast Food,Pigeon Forge,TN,US,35.782339,-83.551408,37863,3652 Parkway
Steak 'n Shake,Fast Food Restaurant,Morrow,GA,US,33.562738,-84.321143,30260,2118 Mt Zion Parkway
Wendy's,Fast Food Restaurant,Detroit,MI,US,42.368823,-83.138251,48204,9768 Grand River Ave
Burger King,Fast Food Restaurant,Detroit,MI,US,42.416819,-83.180444,48235,13600 W McNichols Rd
Chipotle Mexican Grill,Fast Food,Oceanside,CA,US,33.205722,-117.288645,92056,4111 Oceanside Blvd
7-Eleven,Fast Food Restaurants,Riverhead,NY,US,40.937359,-72.650142,11901,162 Old Country Rd
Dairy Queen,Fast Food Restaurant,Monahans,TX,US,31.580721,-102.891455,79756,1407 S Stockton Ave
Dairy Queen,Fast Food Restaurant and Ice Cream Shop,Mabank,TX,US,32.36602,-96.103364,75147,208 W Mason St
Dairy Queen,Ice Cream Shop and Fast Food Restaurant,Missouri City,TX,US,29.570079,-95.568166,77459,5801 Highway 6
Mr. Hero,Fast Food Restaurant,Akron,OH,US,41.005682,-81.555774,44319,3454 Manchester Rd
Golden Chick,Fast Food Restaurants,Eastland,TX,US,32.401088,-98.790162,76448,1500 E Main St
Carl's Jr,Fast Food Restaurant,Azusa,CA,US,34.133291,-117.924566,91702,1190 W Foothill Blvd
Checkers,Fast Food Restaurants,Summerville,SC,US,33.026572,-80.169733,29483,601 N Main St
Rally's,Fast Food,Oregon,OH,US,41.627298,-83.502436,43616,1927 Woodville Road
Togo's,Fast Food,Los Angeles,CA,US,33.955923,-118.396443,90045,6316 W 89th St
Rally's,Fast Food Restaurants,Pearl,MS,US,32.282328,-90.11677,39208,3105 Highway 80 E
Checkers,Fast Food Restaurant,Grand Rapids,MI,US,42.91147,-85.56812,49512,2860 E Paris Ave SE
Rally's,Fast Food Restaurant,Shelbyville,IN,US,39.523704,-85.743659,46176,2424 E State Road 44
Checkers,Fast Food,Brooklyn,NY,US,40.685506,-73.914457,11207,1611 Broadway
Checkers,Fast Food Restaurants,Augusta,GA,US,33.475292,-81.995946,30904,1720 Walton Way
Checkers,Fast Food Restaurant,Detroit,MI,US,42.400037,-83.21574,48227,17620 Grand River Ave
Little Q Hot Pot,Fast Food Restaurants,Arlington,MA,US,42.405651,-71.14212,2474,196 Massachusetts Ave
McDonald's,Fast Food,Schenectady,NY,US,42.79792,-73.924364,12304,1224 State St
McDonald's,Fast Food Restaurant,Kingston,NY,US,41.967079,-73.988583,12401,1232 Ulster Ave
McDonald's,Fast Food Restaurant,New York,NY,US,40.757558,-73.981671,10036,1188 Avenue of The Americas
McDonald's,Fast Food Restaurant,New York,NY,US,40.718943,-73.988306,10002,114 Delancey St
McDonald's,Fast Food Restaurants,Uniondale,NY,US,40.709646,-73.591453,11553,1050 Front St
McDonald's,Fast Food Restaurant,Jericho,NY,US,40.780233,-73.55934,11753,105 Jericho Tpke
McDonald's,Fast Food Restaurants,Albany,NY,US,42.716812,-73.809319,12205,106 Wolf Rd
McDonald's,Fast Food,Bronx,NY,US,40.839569,-73.915927,10452,101 E 170th St
McDonald's,Fast Food,Schenectady,NY,US,42.741061,-73.913673,12303,103 Brookview Dr
McDonald's,Fast Food Restaurants,Buffalo,NY,US,42.857899,-78.825089,14220,1028 Mckinley Pkwy
McDonald's,Fast Food Restaurants,Tonawanda,NY,US,43.021019,-78.878167,14150,10 Main St
McDonald's,Fast Food,Woburn,MA,US,42.503903,-71.132748,1801,300 Mishawum Rd
McDonald's,Fast Food Restaurant,Whitinsville,MA,US,42.125526,-71.645913,1588,1190 Providence Rd
McDonald's,Fast Food,Wilmington,MA,US,42.557448,-71.181499,1887,212 Main St
McDonald's,Fast Food,Webster,MA,US,42.055826,-71.873999,1570,44 E Main St
McDonald's,Fast Food,Waltham,MA,US,42.376247,-71.241667,2451,789 Main St
McDonald's,Fast Food Restaurant,Townsend,MA,US,42.650503,-71.662674,1469,20 Main St
McDonald's,Fast Food Restaurant,Walpole,MA,US,42.157222,-71.243549,2081,595 Main St
McDonald's,Fast Food,Taunton,MA,US,41.88896,-71.120789,2780,282 Winthrop St
McDonald's,Fast Food,Springfield,MA,US,42.12193,-72.584242,1104,660 Liberty St
McDonald's,Fast Food Restaurants,Springfield,MA,US,42.091561,-72.579647,1105,360 Main St
McDonald's,Fast Food Restaurants,Springfield,MA,US,42.111552,-72.603359,1107,2392 Main St
McDonald's,Fast Food Restaurant,Springfield,MA,US,42.095053,-72.512539,1118,1402 Allen St
McDonald's,Fast Food Restaurants,Springfield,MA,US,42.142989,-72.48923,1129,1610 Boston Rd
McDonald's,Fast Food Restaurants,Spencer,MA,US,42.23341,-72.012516,1562,59 W Main St
Five Guys,Fast Food Restaurant,Miami,FL,US,25.754984,-80.368058,33174,1433 SW 107th Ave
Taco Bell,Fast Food Restaurant and Mexican Restaurant,Wylie,TX,US,33.007329,-96.554127,75098,1601 W Kirby St
Taco Bell,Fast Food Restaurant,Tyler,TX,US,32.274786,-95.306757,75703,7425 S Broadway Ave
Burger King,Fast Food Restaurants,Columbia,MO,US,38.964944,-92.336364,65203,100 Business Loop 70 E
Wendy's,Fast Food Restaurant and Burger Joint,Savannah,GA,US,32.070343,-81.101032,31401,615 Martin Luther King Jr Blvd
Wendy's,Fast Food Restaurant and Burger Joint,Marietta,GA,US,33.95111,-84.518962,30062,1123 Roswell Rd
Wendy's,Fast Food Restaurants,McDonough,GA,US,33.446887,-84.138326,30253,273 Keys Ferry St
Wendy's,Fast Food Restaurant,Monroe,GA,US,33.792748,-83.731443,30655,1117 W Spring St
Wendy's,Fast Food Restaurants,Augusta,GA,US,33.486344,-82.13351,30907,430 S Belair Rd
Wendy's,Fast Food Restaurant,Milledgeville,GA,US,33.108582,-83.254192,31061,2341 N Columbia St
Wendy's,Fast Food Restaurant and Burger Joint,Loganville,GA,US,33.880381,-83.939657,30052,260 Cooper Rd
Wendy's,Fast Food Restaurant,Loganville,GA,US,33.839726,-83.905798,30052,4331 Atlanta Hwy
Wendy's,Fast Food Restaurant,Lithonia,GA,US,33.699522,-84.17274,30038,3015 Panola Rd
Burger King,Fast food restaurants,Danvers,MA,US,42.547923,-70.942014,1923,184 Endicott St
Boston Road Pizza,Fast Food Restaurants,Springfield,MA,US,42.140526,-72.50087,1119,1291 Boston Rd
McDonald's,Fast Food Restaurant,Ravenna,OH,US,41.157059,-81.219054,44266,6134 State Route 14
Boston Market,Fast Food Restaurant,Arlington,TX,US,32.679467,-97.195027,76016,4402 Little Rd
D'Angelo Grilled Sandwiches,Fast Food Restaurants,Attleboro,MA,US,41.92023235,-71.35787658,2703,15 Highland Ave
Burger King,Fast Food,El Cajon,CA,US,32.739923,-116.942156,92019,2992 Jamacha Rd
